a52dec 0.7.4-10
aalib 1.4rc5-13
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-lib 1.1.8-1
android-sdk-platform-tools 28.0.2-1
aom 1.0.0-1
appstream 0.12.6-1
appstream-qt 0.12.6-1
archlinux-appstream-data 20190424-1
archlinux-keyring 20190123-2
argon2 20171227-3
aribb24 1.0.3-2
ark 19.04.0-1
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
attica 5.57.0-1
attr 2.4.48-1
audit 2.8.4-3
autoconf 2.69-5
autoconf-archive 1:2019.01.06-1
autokey 0.95.7-1
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
babl 0.1.62-1
baloo 5.57.0-1
baloo-widgets 19.04.0-1
bash 5.0.003-1
bash-completion 2.8-1
bc 1.07.1-3
binutils 2.32-1
bison 3.3.2-1
blas 3.8.0-2
bluedevil 1:5.15.4-1
bluez 5.50-6
bluez-libs 5.50-6
bluez-qt 5.57.0-1
boost-libs 1.69.0-2
breeze 5.15.4-1
breeze-gtk 5.15.4-1
breeze-icons 5.57.0-1
bridge-utils 1.6-3
brotli 1.0.7-1
btrfs-progs 4.20.2-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.43-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
capitaine-cursors 3-2
cdparanoia 10.2-7
chrpath 0.16-2
cifs-utils 6.8-2
clang 8.0.0-4
clucene 2.3.3.4-10
cmake 3.14.3-1
colord 1.4.4-2
compiler-rt 8.0.0-1
containerd 1.2.6-1
contemporary-cursors 1.0-0
contemporary-icons 1.7-0
contemporary-widgets 1.6.2-0
convertlit 1.8-8
coreutils 8.31-1
cracklib 2.9.7-1
crypto++ 8.2.0-1
cryptsetup 2.1.0-1
ctemplate 2.3-5
curl 7.64.1-2
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.32.0-3
dee 1.2.7-5
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.184-4
dhcpcd 7.2.1-1
dialog 1:1.3_20190211-1
diffutils 3.7-1
discord 0.0.9-3
discount 2.2.4-1
discover 5.15.4-1
djvulibre 3.5.27-4
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20181003-1
docker 1:18.09.5-1
docker-compose 1.24.0-1
docker-machine 0.16.1-2
dolphin 19.04.0-1
dosfstools 4.1-2
double-conversion 3.1.4-1
drkonqi 5.15.4-1
e2fsprogs 1.45.0-1
ebook-tools 0.2.2-6
editorconfig-core-c 0.12.3-1
em-keyboard 0.0.7-3
enchant 2.2.3-2
exiv2 0.26-2
expat 2.2.6-1
extra-cmake-modules 5.57.0-1
faad2 2.8.8-1
fakeroot 1.23-1
ffmpeg 1:4.1.3-1
ffmpegthumbs 19.04.0-1
file 5.36-1
filesystem 2018.12-2
findutils 4.6.0-4
flac 1.3.2-2
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
frameworkintegration 5.57.0-1
freetype2 2.10.0-2
fribidi 1.0.5-1
fuse-common 3.5.0-1
fuse2 2.9.9-1
fuse3 3.5.0-1
gawk 4.2.1-2
gc 7.6.8-1
gcc 8.3.0-1
gcc-libs 8.3.0-1
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gd 2.2.5-1
gdb 8.2.1-3
gdb-common 8.2.1-3
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
gegl 0.4.14-1
geoclue 2.5.2-3
geocode-glib 3.26.1-1
gettext 0.19.8.1-3
ghostscript 9.27-1
giflib 5.1.9-3
gifski 0.8.7-1
gimp 2.10.10-1
git 2.21.0-1
glib-networking 2.60.2-1
glib2 2.60.1-1
glibc 2.29-1
glibmm 2.60.0-1
glu 9.0.0-5
gmp 6.1.2-2
gnome-keyring 1:3.31.91-1
gnome-online-accounts 3.32.0-1
gnupg 2.2.15-1
gnutls 3.6.7-1
gobject-introspection-runtime 1.60.1-1
google-chrome 74.0.3729.131-1
gpgme 1.13.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
groff 1.22.4-1
grub 2:2.02-8
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsm 1.0.18-1
gst-libav 1.16.0-1
gst-plugins-base 1.16.0-2
gst-plugins-base-libs 1.16.0-2
gst-plugins-good 1.16.0-1
gst-plugins-ugly 1.16.0-1
gstreamer 1.16.0-1
gtk-update-icon-cache 1:3.24.8-1
gtk2 2.24.32-1
gtk3 1:3.24.8-1
gtkmm3 3.24.1-1
gtksourceview3 3.24.10-1
guake 3.6.2-1
guile 2.2.4-2
guile2.0 2.0.14-3
gzip 1.10-1
harfbuzz 2.4.0-2
harfbuzz-icu 2.4.0-2
hicolor-icon-theme 0.17-1
hspell 1.4-1
htop 2.2.0-2
hunspell 1.7.0-2
hwids 20190316-1
hyphen 2.8.8-2
iana-etc 20190415-1
icu 64.2-1
ijs 0.35-2
ilmbase 2.3.0-1
imagemagick 7.0.8.43-1
imlib2 1.5.1-1
inetutils 1.9.4-7
insomnia 6.4.2-1
intel-tbb 2019.5-1
iproute2 5.0.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-4
iso-codes 4.2-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
jbig2dec 0.16-1
jfsutils 1.1.15-6
js52 52.9.0-2
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kaccounts-integration 19.04.0-1
kactivities 5.57.0-1
kactivities-stats 5.57.0-1
kactivitymanagerd 5.15.4-1
karchive 5.57.0-1
kauth 5.57.0-1
kbd 2.0.4-2
kbookmarks 5.57.0-1
kcmutils 5.57.0-1
kcodecs 5.57.0-1
kcompletion 5.57.0-1
kconfig 5.57.0-1
kconfigwidgets 5.57.0-1
kcoreaddons 5.57.0-1
kcrash 5.57.0-1
kdbusaddons 5.57.0-1
kde-cli-tools 5.15.4-1
kde-gtk-config 5.15.4-1
kdeclarative 5.57.0-1
kdeconnect 1.3.4-1
kdecoration 5.15.4-1
kded 5.57.0-1
kdegraphics-thumbnailers 19.04.0-1
kdelibs4support 5.57.0-1
kdeplasma-addons 5.15.4-1
kdesu 5.57.0-1
kdialog 19.04.0-1
kdnssd 5.57.0-1
kemoticons 5.57.0-1
keyutils 1.6-1
kfilemetadata 5.57.0-1
kgamma5 5.15.4-1
kglobalaccel 5.57.0-2
kguiaddons 5.57.0-1
kholidays 1:5.57.0-1
khotkeys 5.15.4-1
ki18n 5.57.0-1
kiconthemes 5.57.0-1
kidletime 5.57.0-1
kimageformats 5.57.0-1
kinfocenter 5.15.4-1
kinit 5.57.0-1
kio 5.57.0-1
kio-extras 19.04.0-1
kirigami2 5.57.0-1
kitemmodels 5.57.0-1
kitemviews 5.57.0-1
kjobwidgets 5.57.0-1
kjs 5.57.0-1
kjsembed 5.57.0-1
kmenuedit 5.15.4-1
kmod 26-2
knetattach 5.15.4-1
knewstuff 5.57.0-1
knotifications 5.57.0-1
knotifyconfig 5.57.0-1
konsole 19.04.0-1
kpackage 5.57.0-1
kparts 5.57.0-1
kpeople 5.57.0-1
kpmcore 4.0.0-2
kpty 5.57.0-1
krb5 1.16.1-1
krunner 5.57.0-1
kscreen 5.15.4-1
kscreenlocker 5.15.4-1
kservice 5.57.0-1
ksshaskpass 5.15.4-1
ksysguard 5.15.4-1
ktexteditor 5.57.0-1
ktextwidgets 5.57.0-1
kunitconversion 5.57.0-1
kwallet 5.57.0-1
kwallet-pam 5.15.4-2
kwayland 5.57.0-1
kwayland-integration 5.15.4-1
kwidgetsaddons 5.57.0-1
kwin 5.15.4-1
kwindowsystem 5.57.0-1
kwrited 5.15.4-1
kxmlgui 5.57.0-1
kxmlrpcclient 5.57.0-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.8.0-2
lcms2 2.9-1
ldb 1:1.5.4-2
ldns 1.7.0-4
lensfun 0.3.2-7
less 530-1
libabw 0.1.2-1
libaccounts-glib 1.24-1
libaccounts-qt 1.15-2
libaio 0.3.112-1
libappimage 1.0.0-1
libappindicator-gtk3 12.10.0-13
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.21-1
libbluray 1.1.1-1
libbsd 0.9.1-1
libbytesize 1.4-1
libc++ 8.0.0-1
libc++abi 8.0.0-1
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.27-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdr 0.1.5-2
libcmis 0.5.2-2
libcroco 0.6.13-1
libcups 2.2.11-2
libcurl-compat 7.64.1-1
libcurl-gnutls 7.64.1-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdbusmenu-glib 16.04.0-3
libdbusmenu-gtk3 16.04.0-3
libdbusmenu-qt4 0.9.3+16.04.20160218-2
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdca 0.0.6-1
libde265 1.0.3-1
libdmtx 0.7.5-1
libdmx 1.1.4-1
libdrm 2.4.98-1
libdv 1.0.0-7
libdvbpsi 1:1.3.2-1
libdvdread 6.0.1-1
libe-book 0.1.3-5
libebml 1.3.7-1
libedit 20181209_3.1-1
libelf 0.176-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.9-1
libevdev 1.6.0-1
libevent 2.1.8-2
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfakekey 0.3-1
libfbclient 3.0.4.33054-1
libfdk-aac 2.0.0-1
libffi 3.2.1-3
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libgcrypt 1.8.4-1
libgdata 0.17.9-1
libgee 0.20.1-2
libgexiv2 0.12.0-1
libgit2 1:0.27.8-1
libglade 2.6.4-6
libglvnd 1.1.1-1
libgnome-keyring 3.12.0+11+g3766bcc-1
libgpg-error 1.36-1
libgphoto2 2.5.22-1
libgudev 232-1
libgusb 0.3.0-1
libheif 1.4.0-1
libibus 1.5.20-2
libical 3.0.4-3
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.1.1-2
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-1
libindicator-gtk3 12.10.1-8
libinput 1.13.1-1
libinput-gestures 2.43-1
libixion 0.14.1-2
libjpeg-turbo 2.0.2-1
libkdcraw 19.04.0-1
libkexiv2 19.04.0-1
libkeybinder3 0.3.2-2
libkipi 19.04.0-1
libksba 1.3.5-1
libkscreen 5.15.4-1
libksysguard 5.15.4-1
liblangtag 0.6.2-2
libldac 2.0.2.3-2
libldap 2.4.47-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmatroska 1.5.0-1
libmbim 1.18.2-1
libmediainfo 19.04-1
libmm-glib 1.10.0-1
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-2
libmpeg2 0.5.1-6
libmspub 0.1.4-5
libmtp 1.1.16-1
libmwaw 0.3.15-1
libmypaint 1.3.0-6
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.20-2
libnfnetlink 1.0.1-3
libnftnl 1.1.1-1
libnghttp2 1.36.0-1
libnl 3.4.0-1
libnm 1.18.0-1
libnm-glib 1.18.0-1
libnma 1.8.21dev+3+gb4c365b1-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libnumbertext 1.0.5-1
liboauth 1.0.3+14+g186fb14-1
libodfgen 0.1.7-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-2
libpagemaker 0.0.4-1
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.1-1
libplacebo 1.7.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.37-1
libproxy 0.4.15-8
libpsl 0.20.2-5
libpulse 12.2-2
libpwquality 1.4.0-2
libqalculate 3.1.0-1
libqmi 1.22.4-1
libqtxdg 3.3.1-3
libqxp 0.0.2-2
libraqm 0.5.0-1
libraw 0.19.2-1
libraw1394 2.1.2-2
libreoffice-fresh 6.2.3-2
librevenge 0.0.4-2
librsvg 2:2.44.13-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.0-1
libsecret 0.18.8-2
libshout 1:2.4.1-4
libsidplay 1.36.59-9
